variable,$n$,base \%,prec.,rec.,$F_1$,,$\kappa$\newline weighted,$\kappa$\newline vs.\ coded,ECE,vs.\ coded,gap,slope,$H(0.90)$ \%\newline held out
preg\_mentioned,107,0.2,1.00,1.00,1.00,\jevbar{1.000}{0.000},1.00,--,0.011,--,--,sep.,5
animal\_involved,129,1.9,1.00,0.98,0.99,\jevbar{0.979}{0.021},0.99,0.91,0.015,0.015,1.0$\times$,sep.,0
hit\_and\_run,205,16.1,0.99,0.96,0.97,\jevbar{0.955}{0.045},0.97,--,0.035,--,--,2.12,0
transported,146,4.4,0.94,1.00,0.97,\jevbar{0.948}{0.052},0.97,--,0.024,--,--,sep.,0
fatigue,120,1.3,0.93,1.00,0.97,\jevbar{0.942}{0.058},0.97,0.71,0.016,0.015,1.1$\times$,sep.,0
hydroplane,130,2.1,0.96,0.95,0.96,\jevbar{0.929}{0.071},0.96,0.75,0.017,0.017,1.0$\times$,2.35,0
drug\_involved,148,0.4,0.92,1.00,0.96,\jevbar{0.927}{0.073},0.96,0.48,0.023,0.020,1.1$\times$,sep.,0
phone\_use,123,0.8,0.93,0.97,0.95,\jevbar{0.915}{0.085},0.95,0.48,0.016,0.020,0.8$\times$,sep.,0
alcohol\_involved,140,3.0,0.88,1.00,0.94,\jevbar{0.895}{0.105},0.93,0.70,0.026,0.019,1.4$\times$,sep.,5
aggression,165,0.9,0.86,0.91,0.88,\jevbar{0.806}{0.194},0.88,--,0.029,--,--,3.23,11
witness\_cited,206,5.3,0.84,0.91,0.87,\jevbar{0.792}{0.208},0.87,--,0.055,--,--,2.15,19
medical\_episode,164,0.9,0.78,0.91,0.84,\jevbar{0.741}{0.259},0.84,0.53,0.026,0.025,1.0$\times$,sep.,14
\jevflag{vehicle\_defect},132,3.9,\jevflag{0.96},0.54,\jevflag{0.69},\jevbar{0.480}{0.520},0.68,--,0.032,--,--,1.39,0
\jevflag{wrong\_way},183,1.0,\jevflag{0.42},0.68,\jevflag{0.52},\jevbar{0.204}{0.796},0.52,0.37,0.046,0.045,1.0$\times$,1.55,72
\jevflag{intentional},173,0.2,\jevflag{0.33},1.00,\jevflag{0.49},\jevbar{0.152}{0.848},0.49,--,0.035,--,--,sep.,68
\jevflag{unbelted},145,0.2,\jevflag{0.29},1.00,\jevflag{0.45},\jevbar{0.083}{0.917},0.45,0.10,0.027,0.012,2.2$\times$,sep.,64
\textbf{pooled},"2,416",2.7,0.90,0.91,0.91,\jevbar{0.847}{0.153},0.91,--,0.023,--,--,1.63,1
