variable,$n^{+}$,$F_1$ at $\tau=0.5$,tuned $\tau^{*}$,"$F_1$ tuned, out of fold",s.d.,change,stable?
intentional,5,0.48,0.66,0.65,0.22,+0.17,no
unbelted,5,0.49,0.77,0.87,0.17,+0.38,no
wrong\_way,21,0.60,0.87,0.58,0.09,-0.02,yes
medical\_episode,24,0.85,0.73,0.88,0.06,+0.03,yes
witness\_cited,41,0.87,0.42,0.84,0.05,-0.04,yes
vehicle\_defect,32,0.89,0.52,0.85,0.05,-0.04,yes
aggression,31,0.90,0.49,0.87,0.05,-0.03,yes
phone\_use,15,0.92,0.66,0.92,0.07,-0.00,no
drug\_involved,8,0.92,0.60,0.89,0.14,-0.03,no
alcohol\_involved,25,0.92,0.94,0.90,0.04,-0.02,yes
hit\_and\_run,92,0.94,0.30,0.94,0.02,+0.00,yes
transported,35,0.95,0.71,0.97,0.02,+0.01,yes
fatigue,27,0.97,0.62,0.96,0.03,-0.00,yes
hydroplane,31,0.97,0.54,0.96,0.03,-0.01,yes
animal\_involved,23,0.99,0.39,0.98,0.03,-0.01,yes
preg\_mentioned,4,1.00,0.06,0.94,0.07,-0.06,no
