block,item,count,$F_1$,ECE,$H(0.90)$ \%
by variable,hydroplane,9,--,--,--
by variable,hit\_and\_run,7,--,--,--
by variable,phone\_use,7,--,--,--
by variable,transported,6,--,--,--
by variable,witness\_cited,4,--,--,--
by variable,alcohol\_involved,4,--,--,--
by variable,vehicle\_defect,3,--,--,--
by variable,aggression,3,--,--,--
by variable,medical\_episode,2,--,--,--
by variable,wrong\_way,2,--,--,--
by variable,fatigue,1,--,--,--
by variable,drug\_involved,1,--,--,--
by probability bin,"[0.05,0.3)",9,--,--,--
by probability bin,"[0.3,0.7)",22,--,--,--
by probability bin,"[0.7,0.95)",17,--,--,--
by probability bin,"[0.95,1]",1,--,--,--
sensitivity,"excluded, as reported throughout",49,0.908,0.0231,0.0
sensitivity,counted as model errors,49,0.875,0.0228,6.9
sensitivity,counted as model-correct,49,0.912,0.0232,0.0
sensitivity,routed to review regardless of probability,49,--,--,3.7
